Transcription_N,Class
"ich habe wenn ich mich richtig erinner' mir Frau  oder  gesprochen die war äußerst unfreundlich ist überhaupt nicht auf meine Fragen richtig eingegangen konnte nicht das wiedergeben was ich ihr vorher gesagt hatte weil ich scheinbar nicht richtig zugehört hatte und sie war äußerst unfreundlich und in dem Sachverhalt sind wir in keinster Weise weitergekommen",d
"es war ein sehr angenehmes Gespräch mehr ist dazu eigentlich nicht zu sagen Dankeschön",0
"nicht äußert zufrieden mit der Ausführung meiner  Störungsmeldung weil ich seit Sonnabend Mittags zwölf Uhr auf eine Rückmeldung mit irgendeiner Stelle in Ihrem Hause gewartet habe weiter",3
"das Gespräch wurde nach zehn Sekunden ohne Ergebnis  von Ihrer Seite abgebrochen",b
"weiter",0
"dieses Gespräch mit der jungen Kollegin fand' ich in Ordnung aber die mit der Serviceleistung von der Telekom kann ich überhaupt nicht einverstanden sein da muss man ja wirklich überlegen ob man den Anbieter wechselt denn von Service kann bei Ihnen keine Rede sein",0
"weiter ja ich bin also jetzt ich hab' eine konkrete Frage gestellt habe klipp und klare Antwort bekommen und bin damit dann auch zufrieden  sehr zufrieden ja",0
"ich fühlte mich angenommen von der Kollegin sie hat mich beraten und hat wird meinen Wünschen entsprechen ich warte auf das nächste Telefonbuch weil ich den Zusatz  über den Postbetrieb gestrichen haben wollte weiter",1
"Ihr Mitarbeiter war unfreundlich nicht hilfsbreit und hat mich hat das Telefon einfach aufgelegt",d
"Ihr Mitarbeiter war unfreundlich nicht hilfsbreit und hat mich hat das Telefon einfach aufgelegt",b
"ja sehr guter Service ganz schnell geholfen worden besten Dank",0
"ist eigentlich gut verlaufen hervorragend seit langem nicht mehr so gut gesprochen mit der Telekom weiter",0
"ja der Anruf war sehr kompetent  hätte mir halt gewünscht dass das Paket auch ein bisschen günstiger wird wie halt hier  bei eins und eins ist vier und zwanzig neun neunzig Komplettpaket mit Allen Drum und Dran  ja aber trotzdem mit Telekom sehr zufrieden",1
"weiter",0
"ich hatte die Beanstandung einer Rechnung und hatte  einige Ihrer Mitarbeiter am Telefon der das auf eine ausgesprochen nette Art und Weise geregelt hat es gab auch eine kleine Wartezeit die lag  hier bei mir begründet er hat gewartet dass ich mein Papierchen gefunden hatte und hat dann freundlich auf meine Anfragen reagiert",4
"also mit der Beratung  von dem Kundencenter bin ich eigentlich schon im Ganzen zufrieden das einzigste was dabei  entsteht ist das was mir da zugesichert wird nicht in die Realität umgesetzt wird also ich ruf' jetzt mittlerweile schon das vierte Mal da an wegen  einer Berechnung  in meiner Rechnung die nicht  stattfinden dürfte und es ändert sich gar nichts in der Abrechnung es ist nach wie vor dieser Punkt mit drinne den ich rausgestrichen haben möchten von daher total unzufrieden",4
"weiter",0
"also ich war zufrieden mit der Servicekraft hat alles gepasst",0
"na da hat sich überhaupt niemand mit mir auseinandergesetzt weil der Hörer abgehoben und wieder aufgelegt wurde",a
"der Kundenberater war sehr nett höflich freundlich am Telefon und hat mir sehr gut weitergeholfen vielen Dank",0
"es hat kein Beratungsgespräch stattgefunden es hatte sich niemand gemeldet danke",a
"weiter",0
"weiter",0
"eine sehr freundlich und kompetente Beratung weiter",0
"ja guten Tag mein Name ist  ich bin verärgert darüber dass ich seit acht Wochen warte ich habe ein Vertrag mit der Vodafone DSL Vertrag gemacht die haben wiederum mit der Techniker Abteilung von der Telekom ein Termin gemacht die sollten am Samstag bei mir auftauchen sie sind aber hier von halb acht bis sechzehn Uhr gewartet es ist kein Mensch von der Telekom aufgetaucht stattdessen schickt die Telekom ganz witziger Wiese all die Vodafone in die Computer in die  es wär' jemand hier gewesen aber es war keiner anwesend und das ist etwas was ich unverschämt finde dass die Mitarbeiter einfach lügen weil es ich war von halb acht bis siebzehn Uhr hier zu Hause und hat niemand geklingelt und jetzt wird mein Termin einfach auf den vierten Januar verschoben und das verärgert mich sehr deswegen find' ich die Telekom ungenügend obwohl ich persönlich bei der Telekom arbeite seit anderthalb Jahre deswegen verabscheu' ich so was wenn jemand lügt ich war zu Hause und ich wart' seit acht Wochen auf mein Internet mehr kann ich nicht dazu sagen Dankeschön",1
"äußerst zufrieden",0
"weiter",0
"alles besten sehr kompliziert sehr freundlich vielen Dank",0
"weiter",0
"ja sehr schöne angenehme Beratung  war am Überlegen zu wechseln aber der junge Mann hat mich überzeugt mit diesem neuen Tarif bei Ihnen zu bleiben für die nächsten zwei Jahre danke",1
"Auskunft war korrekt gewesen danke weiter",0
"außer der Aufnahme von der jungen Dame ist nichts passiert ich bin weggedrückt werden super Service",b
"sehr gute Beratung bin sehr zufrieden",0
"also ich bin hier gut informiert worden und  sehr zuvorkommend auch vom Servicecenter mehr kann ich nicht dazu also ich ich bin sehr zufriedne ich hab' schon mehrfach hier Auskunft erhalten vom Kundencenter und bin immer sehr zufrieden gewesen weiter",0
"ich möchte gleich mit einem Berater verbunden werden und nicht mit diesem Band sprechen",a
"weiter weiter",0
"weiter  weiter",0
"weiter",0
"ich habe mein Telefonanschluss vertrauensvoll zur Telekom gewechselt und sitze seit einem Monat ohne Telefon und Internetanschluss trotz Stapel von Papieren die mir zugesandt werden hier ich habe drei Urlaubstage  opfern müssen um mit dem Monteur der keine Zugangsdaten hat es scheitert daran jeder ist sehr freundlich aber keiner hat mehr den Überblick ich bekomme die Zugangsdaten für mein Internet nicht ich bin sehr unzufrieden weiter bitte",1
"ich kann nur sagen sehr  extrem freundlich Mitarbeiterinnen wusste genau Bescheid was sie tut und alles perfekt",0
"weiter",0
"ja meine Güte also dieses freie sprechen in die Luft ist ja erstmal eine Sache die mir gar nicht gefällt mit der Dame gerade habe ich sehr gerne gesprochen sie ist persönlich zugewandt und gibt sich alle Mühe mein Problem zu lösen",0
"bisher konnte man die Nummer [tel] anrufen und innerhalb von einer Stunde waren die Punkte klar ich rufe jetzt das dritte Mal und werde sehr gut beraten aber es ist sehr kompliziert die Unterstützung  umzusetzen für altere Leute",1
"weiter",0
"weiter",0
"weiter",0
"also die Frau  die mich mit der ich eben gesprochen habe war sehr nett gewesen und sie hat mir auch sehr geholfen und ich finde sehr gut wie manchmal  hab' ich angerufen da waren nicht so nette freundliche Personen am Telefon gewesen sie   haben einfach aufgelegt haben aber diese Frau  waren sehr nett gewesen also ich bedanke mich recht herzlich noch mal",d
"ja  ich bin noch nicht zufrieden man landet immer in diese Schleife und das ist jetzt mein vierter Versuch heute es ist schon halb zwei und seit acht Uhr bin ich schon am versuchen das das ist einzigste Problem das Wiederhören",a
"das Gespräch war sehr sachlich und kompetent ich war äußerst zufrieden weiter",0
"ein sehr netter Kundenberater hat es außerordentlich sehr genau erklärt also ich bin sehr zufrieden weiter",0
"das  das Gespräch wurde unterbrochen und ich erwarte einen Rückruf unter [tel] danke",b
"der Kollege den ich gerade gesprochen habe war sehr kompetent hat alles gefunden was ich in der Historie bereits hatte mit dieser Leitung und hat mir echt weitergeholfen und Ordnung gemacht Dankeschön  weiter",0
"ich hoffe ja Garantie Austausch läuft so wie besprochen  ohne Extrakosten",1
"weiter ich habe nichts zu beanspruchen es war alles korrekt ich war so zufriedne",0
"weiter  weiter",0
"ja die Frau  hier und zwar bin ich sehr unzufrieden mit der Telekom mir wird nicht geholfenes wurde eine Rechnung für zunächst nicht nicht weitergeleitet erst am zehnte siebte auf die Mahnkosten bleibe jetzt ich sitzen gegen mich ist ein gerichtliches Mahnverfahren eingeleitet worden und das kann nicht sein",4
"ich war äußerst mit dem  mit der Beratung zufrieden",0
"jetzt weiter jetzt weiter",0
"ja ich hatte die Frage ob meine jetzige Flatrate auch für Österreich gilt dann hat mir die Frau  heißt sie glaub' ich ganz ausführlich und detailliert  gesagt was ich machen kann ich kriege also für drei neunzig kriege ich eine Flatrate für das europäische Ausland  da war mir sehr mit gedient ich war also mit der  Aussage sehr zufrieden",1
"sehr kompetente Beratung nur die Computeranbindung war wohl etwas langsam",0
"weiter",0
"so hier ist  ich hatte eben ein Gespräch bei Ihnen geführt es betraf ein neuen Vertrag den wo ich bei Ihnen gemacht hatte und's betraf ein Simlock Entsperrung und die Kollegin von Ihnen die hat mich sehr gut darüber jetzt aufgeklärt habe somit von Ihnen ein neues Handy angenommen und den Vertrag ein bisschen abändern lassen und dieses Gespräch war recht positiv und ich hab' mich auch bei der jungen Dame bedankt dass alles so freundlich und nett über die Bühne gegangen ist",1
"also ich bin sehr sehr gut beraten worden von der Frau  aus [fa]  sehr freundlich sehr zuvorkommend also ich kann nur sagen wenn ihr solche Leute in Euerm Laden habt dann passiert Euch nichts mehr weiter übrigens frohe Wehnacht und guten Rutsch noch alle zusammen der Telekom okay das war's ich hab' eine Minuten  kalt  okay wünsch' Euch alles Gute frohe Weihnacht hab' ich Euch schon gewünscht schöne Feiertage und guten Rutsch ins zwei tausend und zehn ich hoffe Ihr seid alle so cool drauf wie Frau  ja ja passt schon Minute rum immer noch nicht macht noch nicht Pieps also weiter im Text heute ist kalt dreizehn Uhr zwei und fünfzig vierzehnter Dezember zwei tausend neun Montag",0
"ich war mit dem Gespräch sehr zufrieden wurd' mir sehr gut weitergeholfen und fand's ganz toll vielen Dank",0
"sehr kompetente Beratung hat meine  Erwartung erfüllt alle Fragen beantwortet sehr gute Mitarbeiterin",0
"ich hab' bisher noch keinen Berater erreicht ich sollte verbunden werden aber es hat nicht geklappt stattdessen hab' ich die Bewertung ich möcht' jetzt endlich verbunden werden",a
"dazu kann ich mich noch nicht äußern weil  noch nicht klar ist um welche Störung es sich handelt und wie schnelle die wie schnell das gemacht wird weiter",3
"weiter",0
"am Freitag wurden unsere Probleme von uns behoben hat mein Mann das System repariert und da hieß es da kann erst am Montag freigeschaltet werden das Problem liegt bei der Telekom das ist nicht machbar am Wochenende und auch nicht am Freitag mehr jetzt kriegen wir heute einen Anruf es geht wieder nicht in Ordnung und es müsste der Techniker ins Haus was nicht der Fall ist und jetzt bin ich wieder in der Leitung und lauf' hinterher und warte dass irgendwas passiert und dass unser Telefon freigeschaltet werden kann von der Telekom und das ist jetzt nicht das erste Mal das letzte Mal vor drei Wochen haben wir zwei Wochen kein Telefon gehabt einen Mitarbeiteranschluss weil die Telekom eine falsche Rechnung uns gestellt hat  die wir angeblich nicht bezahlt hätte was aber der Fehler  der Telekom war und langsam haben wir ehrlich gesagt die Nase voll  denkbar schlechter Service bei der Telekom kann man nicht anders sagen obwohl man da selber arbeitet",3
"am Freitag wurden unsere Probleme von uns behoben hat mein Mann das System repariert und da hieß es da kann erst am Montag freigeschaltet werden das Problem liegt bei der Telekom das ist nicht machbar am Wochenende und auch nicht am Freitag mehr jetzt kriegen wir heute einen Anruf es geht wieder nicht in Ordnung und es müsste der Techniker ins Haus was nicht der Fall ist und jetzt bin ich wieder in der Leitung und lauf' hinterher und warte dass irgendwas passiert und dass unser Telefon freigeschaltet werden kann von der Telekom und das ist jetzt nicht das erste Mal das letzte Mal vor drei Wochen haben wir zwei Wochen kein Telefon gehabt einen Mitarbeiteranschluss weil die Telekom eine falsche Rechnung uns gestellt hat  die wir angeblich nicht bezahlt hätte was aber der Fehler  der Telekom war und langsam haben wir ehrlich gesagt die Nase voll  denkbar schlechter Service bei der Telekom kann man nicht anders sagen obwohl man da selber arbeitet",4
"bin sehr nett beraten worden danke",0
"ich fühl' mich leider von der Telekom betrogen weil man mir gesagt hat wenn ich zur Telekom zurückwechsele hab' ich innerhalb von zwei Tagen mein Anschluss wieder freigeschaltet  und die Kollegin im Servicecenter sagt mir jetzt auf einmal wo ich alles unterschrieben hab' und alles gemacht hab' nee also vor sechs Tage ist da überhaupt nichts zu machen meine Kundennummer ist die [kundennr] und ich hoffe dass sich da einer drum kümmert denn so bin ich der Meinung geht's nicht man kann nicht erst was versprechen und dann schließend wenn man die Unterschrift des Kunden hat es nicht einhalten",1
"ich fühl' mich leider von der Telekom betrogen weil man mir gesagt hat wenn ich zur Telekom zurückwechsele hab' ich innerhalb von zwei Tagen mein Anschluss wieder freigeschaltet  und die Kollegin im Servicecenter sagt mir jetzt auf einmal wo ich alles unterschrieben hab' und alles gemacht hab' nee also vor sechs Tage ist da überhaupt nichts zu machen meine Kundennummer ist die [kundennr] und ich hoffe dass sich da einer drum kümmert denn so bin ich der Meinung geht's nicht man kann nicht erst was versprechen und dann schließend wenn man die Unterschrift des Kunden hat es nicht einhalten",d
"weiter",0
"also das Gespräch war mir sehr hilfreich und auch sehr nett und auch sehr kompetent Dankeschön",0
"ich bin leider nicht verbunden worden und trotzdem fragen Sie ab was ich von Ihrem Gespräch oder von Ihrer Verbindung halte dass ich da eine Fünf eingeben muss damit müssen Sie doch wohl einverstanden sein weiter",a
"guten Tag ich hatte wegen einer  angerufen gehabt weil ich mit Ihnen ein Vertrag abgeschlossen hatte ich wollte da jetzt  der Laptop hat einen  von zwei Millimeter und  Handy und  war erweitert sich die Reparaturannahme zu machen und daraufhin hab' ich  bei Ihnen auch deshalb angerufen gehabt ob Sie die Reparaturannahme übernehmen dafür aber weil das Gerät über  da    gekauft worden ist oder da da abgeschlossen ist  über   damit dass da hab' ich das Problem damit nun  ist auch damit deswegen  Handy jetzt  bedient auch  in Negativ reingekommen das  was   Handy falsche Rechnung zugeschickt und  na ja wir stehen jetzt  das heutige Mal standen wir vor jetzt  vor Gericht ja okay auf Wiederhören",1
"guten Tag ich hatte wegen einer  angerufen gehabt weil ich mit Ihnen ein Vertrag abgeschlossen hatte ich wollte da jetzt  der Laptop hat einen  von zwei Millimeter und  Handy und  war erweitert sich die Reparaturannahme zu machen und daraufhin hab' ich  bei Ihnen auch deshalb angerufen gehabt ob Sie die Reparaturannahme übernehmen dafür aber weil das Gerät über  da    gekauft worden ist oder da da abgeschlossen ist  über   damit dass da hab' ich das Problem damit nun  ist auch damit deswegen  Handy jetzt  bedient auch  in Negativ reingekommen das  was   Handy falsche Rechnung zugeschickt und  na ja wir stehen jetzt  das heutige Mal standen wir vor jetzt  vor Gericht ja okay auf Wiederhören",4
"jetzt einfach weiter",0
"ich hatte ein Problem und zwar eine Bekannte von mir hat einen fremd Anschluss und möchte dringend wechseln ich hab' ihr angeboten sich mit der   Telekom in Verbindung zu setzen und sich da über einen Wechsel zu informieren danke",1
"Ihr Mitarbeiter war äußerst  nett fachkompetent und hat mir schnell helfen können dafür bedank' ich mich",0
"sehr unfreundlicher Mitarbeiter und für Premiumkunden absolut nicht tragbar",d
"ja das ganz einfach gesagt ich hab' ungefähr viermal schon die Störung beauftragt seit Freitag hab' ich kein DSL Anschluss und es passiert nichts",3
"ja ich bin unzufrieden weil ich mittlerweile schon eine Woche kein Internet kein  hab' und immer werd' ich vertröstet beziehungsweise wart' ich dann   fast drei Stunde und das kann's wohl nicht sein",3
"wir haben seit drei Tagen kein Telefonanschluss weil eine Störung drin ist das kann nicht sein dass so was nicht behoben wird weiter",3
"weiter",0
"weiter",0
"ja ich hab' mit [vorn]  vom Kundenservice gesprochen der war sehr freundlich und zuvorkommend hat alles zu meiner Zufriedenheit geregelt das  Servicecenter hatt' ich vorher schon einmal am Telefon mit einem andern Mitarbeiter der hat sich nicht so zurecht gefunden deswegen musst' ich ein zweites Mal anrufen aber jetzt beim zweiten Mal bei dem Herrn  hat alles super geklappt",0
"ja ich bin sehr zufrieden und ich wollte meinen äußerst erweitern beziehungsweise  in zwei Telefonnummer einrichten aber das geht jetzt nicht ganz so wie ich's mir vorgestellt habe Grund meiner Gesundheit ich muss den Auftrag jetzt noch mal stornieren und zurücksenden lassen und damit hätt' ich eigentlich glaube ich alles gesagt und ich sag' nochmals Dankeschön",1
"wir sind von Ihren Mitarbeitern angelogen worden wir haben finanziell einen sehr großen Schaden weil wir jetzt seit Tagen nicht ins Internet kommen und ich da beruflich arbeite wir können keine Emails abrufen und  wir werden über den Tisch gezogen uns werden falsche Aussagen gemacht falsche Versprechungen und keiner ist zuständig wir können  wir bereuen sehr dass wir zu Ihnen gewechselt haben ja wenn das schon so los geht uns ist alles nicht erzählt worden wegen sechs Tagen warten und kein Internet das ist uns nicht mitgeteilt worden sondert es hat's geheißen wir können nahtlos das Internet ineinander übergehen lassen den Wechsel wir sind stinksauer wir werde eine Schadensersatzklage machen ja weil ich einen riesen Verdienstausfall hab' und dann wird man nur abgespeist ja da ist kein Techniker da ja also das ist eine bodenlose Frechheit man wird nicht einmal informiert dass wir jetzt kein Internet haben wir sind absolut sauer er ist eine es ist eine Riesenschweinerei wie da mit Kunden umgegangen wird",3
"wir sind von Ihren Mitarbeitern angelogen worden wir haben finanziell einen sehr großen Schaden weil wir jetzt seit Tagen nicht ins Internet kommen und ich da beruflich arbeite wir können keine Emails abrufen und  wir werden über den Tisch gezogen uns werden falsche Aussagen gemacht falsche Versprechungen und keiner ist zuständig wir können  wir bereuen sehr dass wir zu Ihnen gewechselt haben ja wenn das schon so los geht uns ist alles nicht erzählt worden wegen sechs Tagen warten und kein Internet das ist uns nicht mitgeteilt worden sondert es hat's geheißen wir können nahtlos das Internet ineinander übergehen lassen den Wechsel wir sind stinksauer wir werde eine Schadensersatzklage machen ja weil ich einen riesen Verdienstausfall hab' und dann wird man nur abgespeist ja da ist kein Techniker da ja also das ist eine bodenlose Frechheit man wird nicht einmal informiert dass wir jetzt kein Internet haben wir sind absolut sauer er ist eine es ist eine Riesenschweinerei wie da mit Kunden umgegangen wird",d
"es war ein sehr gutes sehr freundliches und  sehr weiterführendes  Gespräch  sehr kompetenter Mitarbeiter  sehr zufrieden",0
"sehr gute Auskunft sehr gute Bemühungen sehr viel Geduld gutes Fachwissen und eine sehr  kompetente Beratung ich bin mit diesem Gespräch sehr zufrieden gewesen",0
"ich versuche hier einen Berater ans Telefon zu bekommen weil  seit Freitag mein Anschluss gestört ist und ich rede nur mit dem Computer da kriegt man irgendwann einen Hals weiter",3
"ich versuche hier einen Berater ans Telefon zu bekommen weil  seit Freitag mein Anschluss gestört ist und ich rede nur mit dem Computer da kriegt man irgendwann einen Hals weiter",a
"der Mitarbeiter hat kompetent geholfen und verschiedene Informationen besorgt was mir weitergeholfen hat",0
"weiter  weiter bitte weiter bitte",0
"weiter",0
"ich sollt' mit der Technik verbunden werden jetzt komm' ich auf diesen Computer hallo Technik Technik Mann Technik ich will die Technik   Technik  Technik wollt ich jetzt hallo",a
"weiter",0
") ich war mit der Beratung bestens zufrieden gewesen alles klar und dann weiter",0
"ich war mit diesem Anruf sehr zufrieden",0
"Frau  hat mich in Sachen  zwei ungerechtfertigter Abbuchungen sehr geholfen und mein Anliegen wurde zur vollen Zufriedenheit geregelt",4
"weiter weiter",0
"na die Recherche  auch  vorherige Gespräche müssten noch besser werden",0
"weiter",0
"es war eine äußerst kompetente Beratung kurz und bündig  alles umfassend Punkt",0
"also ich muss sagen ich war rundum sehr zufrieden hab' mich gut betreut gefühlt und die Hilfestellung vom Kundenservice war sehr sehr gut",0
"ja leider wurde meine Bitte um ein Vertriebs Menschen  der mich kontaktiert nicht so  aufgenommen wie ich das gerne gehabt hätte weil man konnte mir nicht sagen ob heute noch jemand vom Vertrieb mich anruft obwohl ich letzte Woche Donnerstag schon nachgefragt hatte dort hat man mir erst gesagt wir können Ihnen gar keinen Geschäftskunden Betriebler schicken dann hier es ja der tut sich Montag mit Ihnen in Verbindung setzen heute hab' ich  Montag  den glaub' ich vierzehnten haben wir heute vierzehnte Dezember ich hab'  fünfzehn Uhr fünfzehn und bis jetzt hat sich noch keiner bei mir gemeldet so dass ich wieder diese Hotline anrufen musste ich bin sehr unzufrieden und ich glaube dass die Telekom ja schon genug Geschäftskunden Verträge abgeschlossen hat und  kein weiteres Interesse hat sonst würde sich ja jemand melden oder könnte mir jemand sagen dass sich heute hier bei einem jemand danke",1
"das Problem besteht darin dass man erst ewig lang   umher verbunden wird das wirklich viel Zeit in Anspruch nimmt und dann am Ende aus der Leitung fliegt",3
"das Problem besteht darin dass man erst ewig lang   umher verbunden wird das wirklich viel Zeit in Anspruch nimmt und dann am Ende aus der Leitung fliegt",a
"weiter",0
"ich habe überhaupt keine Auskunft bekommen das Gespräch wurde einfach abgebrochen",a
"ein sehr freundliches Gespräch  durchaus auch kompetent kann man nicht meckern alles in allem eine gelungene Beratung",0
"ich wurde von Ihrem Kundenzentrum    sehr gut bedient wurde entsprechend meines Problemes weitergeleitet und erwarte jetzt auf weitere Hilfe von Ihrem Kundenzentrum",c
"weiter",0
"weiter",0
"schön guten Ta es wäre sehr schön wenn man weiterverbunden wird dass man auch tatsächlich weiterverbunden wird und nicht irgendwo in einer Schleife hängen die dann am Ende sagt och es ist doch keiner verfügbar danke",a
"weiter",0
"weiter  weiter",0
"die Person die mich beraten hat hat   mir sehr geholfen und ich bin äußerst zufrieden mit ihr sie hat also eine vollkommene Erklärung und sie ist sehr bemüht meinen Forderungen nachzukommen muss sich sehr auf dem Gebiet noch mal bedanken bei dem",0
"weiter",0
"Gespräch war gut nur der Kollege wo mich gerade bedient hat wusste nicht dass die  wie sagt man die Stelle wo er mich weiterverbunden hat erst ab acht Uhr morgens auf hat war vielleicht wusst' er's auch nicht genau war nur schade aber sonst gut",0
"zu diesem Gespräch dass ich heut früh führen musste ist zu sagen dass die Störung an diesem Anschluss hier bereits seit Dienstag vor einer Woche also  bereits seit acht Tagen anliegt ich jetzt also  jeden Tag mehr oder weniger die  Störungsstelle anrufe selbstverständlich immer mit jemand anderen da verbunden werde der sich zwar ja meiner Probleme annimmt aber ich  sehe kein Ergebnis so Dankeschön weiter",3
"ja guten Morgen ich bin also mit dem Beratungsgespräch  wie ich gerade schon geäußert hab' äußerst zufrieden die Erreichbarkeit war sehr gut ging sehr sehr schnell die junge Dame war sehr freundlich sehr hilfsbereit und konnte mein Problem  umgehend lösen also mehr kann man sich eigentlich gar nicht wünschen vielen Dank noch mal",0
"weiter",0
"weiter",0
"ich bin äußerstzufrieden über die prompte  über die prompte Lösung meines Problems",0
"weiter",0
"weiter weiter weiter",0
"weiter",0
"ich bin sehr zufrieden stimmt das so",0
"ich habe am zwoten elften  das neue Breitband Fernseher und seitdem hab' ich Schwierigkeiten  der Herr  hat eine gute Beratung gegeben ich hoffe jetzt dass bald in Ordnung gebracht wird weiter",1
"weiter",0
"ich find' es nicht in Ordnung dass man für einen Vertrag wo fünf Euro pro Monat extra bezahlen muss",1
"ich war sehr zufrieden gewesen da meine   verstanden wurde und entsprechend auch  gehandelt wurde weiter",0
"die Störung wurde bisher von Ihren Mitarbeiterinnen und Mitarbeiter direkt wo ich die PC eingeschaltet hatte behoben dieses Mal war die Dame die mir sagte ich solle den Strom unterbrechen das ist mir völlig neu",d
"ich war überrascht wie freundlich und hilfsbereit die Kollegen sind und wie schnell die Tarifumstellung über die Bühne ging",1
"die Dame war äußerst  unhöflich und nicht bereit das richtig anständig zu erklären sie hatte ein scharfen Ton an sich und für diesen Job nicht geeignet danke so geht man nicht mit Kunden um",d
"Sie haben mein Anliegen überhaupt nicht verstanden weder bearbeiten können noch wurd' ich an den richtigen Mitarbeiter verbunden das war die Inkompetenz hoch fünf",0
"Herr  ist wie selbstverständlich davon ausgegangen dass ich wüsste von einem Termin und ich wusste überhaupt nichts von einem Termin und dass ich zu Hause soll dann hab' ich mindestens fünfmal meine Handynummer hinterlegt bei der Telekom und Sie schaffen es nicht mich anzurufen  und es steht angeblich in dem Ticket dass  es versucht wurde mich zu erreichen das kann gar nicht sein weil ich mein Handy immer auf Empfang hatte",1
"das Gespräch war einwandfrei nur um dahin zu kommen gibt es diverse Probleme man muss mit einer Maschine reden und genau das ist nicht kundenfreundlich weiter",0
"ich bin etwas sauer da ich  kein Internetzugang in den Nachtstunden in den Abendstunden habe und das seitdem T-Home bei mir eingerichtet wurde und der Monteur jetzt das dritte oder vierte Mal kommt",3
"weiter weiter",0
"bin sehr zufrieden weiter",0
"sehr zufrieden",0
"bin sehr zufrieden es war eine sehr freundlich Dame   die mir Auskunft gegeben hat und ich wünsch' es wär' überall so",0
"Firma [fa]  ich habe eine Störung gemeldet bin in eine Warteschleife gebracht worden und jetzt bin ich dort wo ich jetzt bin also ich hätte gern weiter gesprochen und mich weiter unterhalten über die Störung die wir haben aber leider bin ich jetzt auf dieses Endgespräch gestoßen danke",3
"Firma [fa]  ich habe eine Störung gemeldet bin in eine Warteschleife gebracht worden und jetzt bin ich dort wo ich jetzt bin also ich hätte gern weiter gesprochen und mich weiter unterhalten über die Störung die wir haben aber leider bin ich jetzt auf dieses Endgespräch gestoßen danke",c
"ja wunderschönen guten Morgen  ich war allen in allem sehr zufrieden sehr  ja sehr freundlicher Mitarbeiter der mir versucht hat alles zu erklären und war auch ganz toll ich bin eigentlich wunschlos glücklich danke",0
"weiter",0
"weiter",0
"der Mitarbeiter ist zwar sehr sehr hilfsbereit und wir haben auch eine   einen Lösungsansatz gefunden letztendlich konnt' er mir leider nicht helfen nachdem durch ein Kartenwechsel  tausend fünf hundert Euro unnötig von meinem Konto abgebucht worden sind man hat mich auf viel Papierkram verschoben also Mitarbeiter äußerst zufrieden grundsätzliche Situationsklärung äußerst unzufrieden  weiter",4
"weiter weiter",0
"ja ich habe die Zwei gedrückt weil es wirklich zu lang dauert bis ich in mein Internet komme und auch zu lang gedauert hat bis ich Telefon hatte mein Telefonanschluss",1
"der Kundendienst ist zwar nicht schlecht aber ich hatte gestern einen Monteur persönlich kommen er ist nicht gekommen ob er heute kommt weiß ich nicht man ist nicht in der Lage den Anschluss freizuschalten dass ich immer noch mit dem Handy telefonieren muss da ich ein kommendes Kind hab' bin  muss das Anbieter wechseln das das dass das gemacht wird",1
"ich wurde sehr freundlich beraten und auch prompt und korrekt bedient",0
"weiter weiter",0
"im Augenblick wurde mir nicht weitergeholfen das Gespräch wurde unterbrochen und  Sie mit Ihre Frage haben sich einfach eingeschaltet und darauf hin die Bewertung Ende",a
"die   Beratung war hervorragend  ganz wunderbar bin sehr sehr zufrieden vielen Dank und dann weiter jetzt",0
"Ihr kompetenter Mitarbeiter war also sehr zufriedenstellend und ich habe mich über den Kundendienst sehr gefreut",0
"ich  ich bin  sehr höflich angesprochen worden das Problem wurde sofort gelöst ich war begeistert und weiter",0
"ich war sehr zufrieden ich hab' mit einem Herr  gesprochen der sehr höflich und freundlich war und mir geholfen hat",0
"weiter",0
"eine sehr unverschämte Mitarbeiterin die ein sehr unmöglichen Ton benutzt hat obwohl ich in der Warteschleifen warten musste und am Anfang am Anfang  hab' ich Sie nicht gehört und dann anstatt einen normalen Ton zu benutzen zu sagen ja hallo ist jemand in der Leitung  sagt sie ja hallo das war ihr Ton das hat mich so was von genervt",d
"hi weiter",0
"unzufrieden weil Wechsel Möglichkeit da war und wir seit dem fünften Oktober hin und her geschickt werden und keine Lösung angeboten werden von der Telekom und der Fehler bei der Telekom liegt und wir jetzt mit unserm alten Anbieter Vodafone äußerst en Ärger haben",1
"das Gespräch war in Ordnung meine Fragen sind korrekt beantwortet worden freundlich und Service gut",0
"weiter",0
"sehr freundlich sehr nett entgegenkommend ich bin sehr zufrieden weiter",0
"sehr kompetent und freundlich umfangreich und sehr hilfreich danke",0
"ja hallo hier ist  ja ich hab' jetzt gerade zum dritten Mal bei Ihnen angerufen weil ich  kein Zugang zum Internet habe ich versteh' das das ist wohl vertraglich so festgehalten ist dass das in vier und zwanzig Stunden gemacht werden kann nichtsdestotrotz kann ich nicht arbeiten und jetzt der letzte Mitarbeiter drückt mich einfach weg das ist keine Dienstleistung das ist nicht in Ordnung   der Kunde ist immer noch König und   wann immer man anruft hat sich  jemand um das Anliegen zu kümmern das war nicht okay",3
