"1256192887354.txt";"TRANSCRIPTION: Sie war nicht groß gewillt mir zu helfen
";"d";;;;;"Häufigkeit absolut";"Kategorie";"Häufigkeit relativ (%)"
"1256564975699.txt";"TRANSCRIPTION: die Bestellung [fragment] es war ein Fehler von der Service Annahme ich habe was bestellt am zwei und zwanzigsten Oktober und es wurd gar nichts [fragment] ins System eingegeben beziehungsweise meine Bestellung ist bis heute nicht vorhanden
";1;;;;;;;
"1256565216062.txt";"TRANSCRIPTION: man hat [fragment] man hat einfach die Leitung abgelegt also Servicezentrale hat sofort [fragment] getrennt die Leitung ich weiß nicht wieso
";"b";;;;;;;
"1256565336324.txt";"TRANSCRIPTION: der Kundenberater hat sich in keinem Fall für mein Anliegen interessiert und sich auch überhaupt nicht bemüht @hes@ mein Anliegen in irgendeiner Art und Weise zu bearbeiten
";0;;;;;;;
"1256565456591.txt";"TRANSCRIPTION: weiter weiter [pause] weiter
";0;;;;;;;
"1256565696837.txt";"TRANSCRIPTION: es hat sich überhaupt niemand gemeldet das Gespräch fand nicht statt
";"a";;;;;;;
"1256565817050.txt";"TRANSCRIPTION: ich habe mit keinem Kundenberater sprechen können da als ich mein Kundenkennwort genannt habe ich sofort weiter zu dieser Befragung geleitet wurde ohne mein Anliegen vorbringen zu können
";"a";;;;;;;
"1256565937265.txt";"TRANSCRIPTION: ich habe noch kein Ergebnis und die Dame mit mir *gesprochen* hat wollt' sich noch mal erkundigen jedenfalls bin ich noch nicht weiter und hab' noch kein Ergebnis
";0;;;;;;;
"1256566057529.txt";"TRANSCRIPTION: ich habe die Hotline angerufen um zu erfahren wie weit die Migration meines Anschluss fortgeschritten ist @hes@ dies hab' ich auch schon mal getan die Dame die ich eben am Telefon hatte behauptet das würde nicht gehen sie könnte das nicht sehen und @hes@ hat mir das @hes@ auch nicht gerade freundlich oder entschuldigend @hes@ [fragment] @hes@ dargelegt sondern war eher @hes@ unfreundlich und @hes@ patzig am Telefon
";1;"d";;;;;;
"1256566537806.txt";"TRANSCRIPTION: super Service immer daneben legen immer auf oder sprechen noch nicht mal mit einen ich hab' bis heute noch kein Internet online mehr danke
";1;;;;;;;
"1256566778051.txt";"TRANSCRIPTION: unfreundlich unkompetent einfach aufgelegt
";"d";"b";;;;;;
"1256567018268.txt";"TRANSCRIPTION: ja es tut mir leid das war eigentlich gar nicht so wie ich es mir gewünscht habe weil ich überhaupt keine Antwort bekommen habe ich warte noch auf die Antwort und wurde einfach *rausgeschmissen* aus der Leitung
";"a";;;;;;;
"1256567138516.txt";"TRANSCRIPTION: man hat mich [fragment] in die Warteschleife gehangen um das Problem zu lösen und als nächstes kam jetzt hier diese Bewertung das heißt das Gespräch ist anscheinend beendet Problem ist nicht gelöst und hiermit ist die Bewertung natürlich @hes@ am äußersten Ende von der negativen Skala fertig
";"c";;;;;;;
"1256567138755.txt";"TRANSCRIPTION: keine Lösung
";0;;;;;;;
"1256567258814.txt";"TRANSCRIPTION: Thema verfehlt unfreundlich keine Antwort auf die Sache
";"d";;;;;;;
"1256567499071.txt";"TRANSCRIPTION: das Gespräch wurde einfach unterbrochen bevor ich eine Antwort Ihrer Mitarbeiterin bekommen habe
";"b";;;;;;;
"1256567619363.txt";"TRANSCRIPTION: beim ersten Gespräch wurd' ich @hes@ wurde meine Legitimation nicht anerkannt beim zweite Gespräch wurd' ich weiterverbunden [fragment] dann aus der Leitung geschmissen
";"b";;;;;;;
"1256567739629.txt";"TRANSCRIPTION: Unfreundlichkeit und da die Telekom mir [fragment] kein besseren Anschluss bieten kann bleibt mir *nicht* *anderes* übrig als bei Telekom zu bleiben und die müssen mir geldlich dann entgegenkommen zwar hab' ich *einen* vier *und* zwanzig Monaten weiter *ein* *Vertrag* aber da bin ich allzu *recht* einverstanden weil die Telekom ja sowieso nicht ausbauen will das Netz und das Fachwissen ist sowieso von der guten Frau ganz klein gewesen sie hat gesagt sie [fragment] *ein* ganz kleines Lichtlein und kann gar nicht *mehr* [fragment] meine Meinung nach was ich will gar *nicht* dagegen unternehmen
";"d";1;;;;;;
"1256568339984.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256568581143.txt";"TRANSCRIPTION: die Kollegin konnte mich nicht erklären warum meine Rechnung so steigt von sich selbst automatisch und am Ende weil sie keine Antwort geben konnte für sie war zu viel sie hat einfach aufgelegt sie kann ja nichts dafür wenn man ihr befehlt oder an ihre Kollegen dass die Rechnung automatisch steigt können die Damen und Herren nichts tun und sie hat aufgelegt Dankeschön
";4;"b";;;;;;
"1256570141482.txt";"TRANSCRIPTION: das Gespräch wurde einfach beendet ohne dass es zu zu einer Antwort kam
";"b";;;;;;;
"1256570141844.txt";"TRANSCRIPTION: sehr sehr unfreundlich sehr sehr unfreundlich war die Dame also meiner Meinung nach gehört die gekündigt
";"d";;;;;;;
"1256571341993.txt";"TRANSCRIPTION: [fragment] der Beraterrate hat das Gespräch abgebrochen ohne mir eine Antwort zu geben @hes@ außerdem hab' ich mir Ihrer Serviceleitung ständig Probleme weil man rausgeworfen wird oder man sagt es sind keine Plätze frei oder man wartet unerträglich lange ich bin also im hohen Maße unzufrieden
";"e";"b";;;;;;
"1256571823153.txt";"TRANSCRIPTION: gerade Herrn ich habe gerade Herrn [nachn] gebeten eine V-DSL Prüfung für meinen Anschluss durchzuführen jetzt hat er gesagt das geht nicht weil ich Kunde eines Wettbewerber bin dann hat er doch die Eingabe der Straße vorgenommen dann hat er mich gefragt ob ich jetzt sofort ein Auftrag @hes@ abschließen möchte da hab' ich gesagt ich möcht' jetzt erst einmal wissen ob hier V-DSL verfügbar ist und dann hat er aufgelegt
";1;"b";;;;;;
"1256571823356.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256572063438.txt";"TRANSCRIPTION: das Gespräch wurde einfach abgebrochen ich habe keine Antwort erhalten denn sie sind mit Ihrem Anrufbeantworter einfach dazwischen gegangen und das find' ich nicht in Ordnung dass die Kollegin sich nicht äußern konnte
";"b";;;;;;;
"1256572304434.txt";"TRANSCRIPTION: ich wart' jetzt über zwei *Wochen* für die Telefon Umstellung jetzt hat man mich heute vertröstet auf den neun und *zwanzigsten* würd' das *erst* gehen also für den *Kunden* unbegreiflich dass die Telekom so langsam arbeitet *das* *ist [fragment] also für mich fast unmöglich das zu *begreifen*
";1;;;;;;;
"1256572904708.txt";"TRANSCRIPTION: meine Güte seid Ihr nicht ganz frisch oder was ich war noch gar nicht *fertig* mit *dem* Telefonieren jetzt verbind' mich mal wieder mit *einem* Berater *Leute* ich war doch noch gar nicht *fertig* so jetzt Schluss
";"b";;;;;;;
"1256573145852.txt";"TRANSCRIPTION: es kann nicht sein dass man von mir verlangt dass ich zehn Stunden entweder zu Hause bleibe oder mich zehn Stunden in eine Telekom Laden stelle um zu warten dass ein Austausch Handy geliefert wird [vocal] das eins zu eins ausgetauscht werden muss @hes@ das sind also glaub' ich nicht in der Zeit dass ich @hes@ mir *einen* Tag Urlaub nehme oder weiß ich was @hes@ und auf einen @hes@ Handyaustausch warte
";1;;;;;;;
"1256573146115.txt";"TRANSCRIPTION: ich bin überhaupt nicht zu einem Gespräch bekommen das Gespräch wurde diese Dame wieder unterbunden die hier dauernd ihren Senf runterleiert es kam's überhaupt kein Gespräch zustande
";"a";;;;;;;
"1256573386161.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256573506369.txt";"TRANSCRIPTION: Service
";0;;;;;;;
"1256573626643.txt";"TRANSCRIPTION: und zwar hat mir die ganze Verbindung nicht gefallen der Berater oder die Beraterin war ja in Ordnung aber ehe man zu dem Berater kommt das dauert wesentlich zu lange weil man dann immer wieder das ganze Alphabet wieder vorne herbeten muss und das geht nun bereits jetzt seit zehn Minuten eh ich dann mal einen Berater war das gefiel mir nicht
";"e";;;;;;;
"1256573747646.txt";"TRANSCRIPTION: bei meinem Auftrag ist eine Panne unterlaufen das *Ding* ist nicht gekommen daher bin ich unzufrieden
";1;;;;;;;
"1256573988705.txt";"TRANSCRIPTION: ja die nette Dame @hes@ von der [tel] wollte mich weiterverbinden zu T-Online und dann kam *eine* weitere synthetische Dame die mir @hes@ freundlicherweise dann sagt das Gespräch ist jetzt beendet vielen Dank
";"c";1;;;;;;
"1256573988964.txt";"TRANSCRIPTION: ich hätte mir gewünscht dass ein Gespräch erst mal zustande kommt das ist gar nicht passiert ich wurde sofort weitergeleitet
";"a";;;;;;;
"1256574109037.txt";"TRANSCRIPTION: ja ich ich hab' am sechsten beantragt die Umstellung des Telefons das wurde mir zwischenzeitlich *ein* paar Mal versprochen und heute fast zwanzig Tag später ist immer noch nix passiert weiter
";1;;;;;;;
"1256574349314.txt";"TRANSCRIPTION: dass ich gar kein Kundenberater bekommen habe wegen der Störung sondern Sie gleich mit dieser Bewertung kamen deswegen auch meine Fünf [pause] Frechheit [pause] weiter
";3;"a";;;;;;
"1256574829627.txt";"TRANSCRIPTION: guten [nachn] ist mein Name ich hab' *ein* Schreiben von Ihnen erhalten und zwar geht es darum @hes@ wo Sie da sagen Sie’s die Oktopus open zwei hundert dreißig darüber geht dass man das @hes@ bei Ihnen eventuell buchen kann und ich bin daran interessiert dass mein Handy klingelt und *auch* das Festnetz ich @hes@ wie Sie schreiben *das* ist für kleinere Unternehmen dass wir also bei uns gerade richtig keiner von Ihren Mitarbeitern das *nun* schon der dritte oder gerade vierte weiß da Bescheid ich hab' jetzt wieder *eine* neue Nummer mit der [tel] hinter also das ist dann schon so wo ich sage warum geben Sie Ihr habt die Briefe raus wenn keiner bei denen Bescheid weiß mir wär's lieb Sie würden mich vielleicht mal zurückrufen [tel] danke auf Wiederhören
";1;;;;;;;
"1256574829887.txt";"TRANSCRIPTION: also erstens ich wurde eine Dreiviertelstunde in die Warteschleife gelassen hat sich keiner mehr zurückgemeldet zweitens hat man mich jetzt einfach anstatt zum Kundenbetreuer jetzt wieder in *eine* Warteschleife zur Befragung getan also ich bin ich find' das ziemlich unverschämt ja danke [garbage]
";"e";"a";;;;;;
"1256575309974.txt";"TRANSCRIPTION: wollte Auskunft über Roaming Preise im Ausland Kollegin hat einfach mich rausgedrückt sehr schön T-Mobile
";1;"b";;;;;;
"1256575550206.txt";"TRANSCRIPTION: bedarf Hilfe bei einem online Entsperrung und @hes@ die Dame war nicht gerade sehr höflich und sehr genervt @hes@ was nicht gerade zu Kundenzufriedenheit beiträgt ich werde jetzt selbst das beste tun ja das war's danke
";1;"d";;;;;;
"1256575550414.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256575550456.txt";"TRANSCRIPTION: die Kundenberaterin hatte leider keine Ahnung dann hat sie sich erkundigt und dann war das Gespräch angebrochen
";"c";;;;;;;
"1256575790511.txt";"TRANSCRIPTION: ich habe noch gar kein Gespräch gehabt soll es aber schon bewerten was soll das [garbage]
";"a";;;;;;;
"1256575790745.txt";"TRANSCRIPTION: ich bin nicht damit einverstanden wie Sie mit Ihren Kunden [fragment] umgehen @hes@ im Rahmen von Beschwerden und Reklamationen
";0;;;;;;;
"1256575790790.txt";"TRANSCRIPTION: mir werden Leistungen abgerechnet die ich nicht bestellt und nicht beansprucht habe seit vier Monaten
";1;4;;;;;;
"1256576150899.txt";"TRANSCRIPTION: ja nachdem [garbage] hallo also nachdem ich *mein* @hes@ Grund *für* *Anruf* gesagt hab' @hes@ hat's bloß noch *geheißen* Abbruch und dann war ich [fragment] Reklamations Center *verbunden* @hes@ üblicherweise [fragment] mal anhören *was* höre okay danke [pause] können Sie mich wieder wieder mit *dem* [fragment] Berater *verbinden* oder
";"b";1;;;;;;
"1256576271171.txt";"TRANSCRIPTION: ich hatte *nicht* mal *ein* Gespräch schickt mir doch *einen* Kundenberater dann können wir das Thema auch gerne klären bin ich auch bereit dazu aber wenn ich mit niemanden sprechen kann können wir die Fragen auch nicht klären deshalb die Bewertung so schönen Dank auf Wiederhören
";"a";;;;;;;
"1256576631470.txt";"TRANSCRIPTION: zweimal hab' ich angerufen wo kein Kundenkontakt angelegt wurde eine Zahlung wurde nicht aufgefunden und erst heute nachdem ich fünf Monate später wird der Betrag den ich angewiesen habe *gefunden* wodurch die Mahnungen überflüssig wurden der Fremdanbieter wurde somit nicht bezahlt und hat hier ein Inkassobüro eingeschaltet und mein Anschluss war fünf Tage außer Betrieb obwohl man den Fehler am fünften Tag in der Schaltestelle gefunden hat hat man permanent behauptet es lag an meinem Anschluss das sind alles Tatsachen die äußerst unbefriedigend sind [fragment] zumal mal ich dazu eine Gutschrift erwartet habe die nicht erfolgt ist [pause] weiter
";1;;;;;;;
"1256577711826.txt";"TRANSCRIPTION: der Service der Telekom in Form von Ausrüstung mit Hardware für (()) Kunden gibt es leider nicht mehr das macht mich sehr unzufrieden des Weiteren wurden wir während des Gespräches mit einem Ihrer Berater einfach unterbrochen aus diesem Grunde auch diese schlechte Bewertung
";1;"b";;;;;;
"1256577952061.txt";"TRANSCRIPTION: dieses *Gespräch* unterbrochen worden ist ohne dass man überhaupt weitergekommen sind weiter
";"b";;;;;;;
"1256578072396.txt";"TRANSCRIPTION: ich musste jetzt schon zum dritten Mal anrufen ich hab' *einen* ISDN Anschluss beantragt dieser kann auf *absehbarer* Zeit [fragment] nicht freigeschaltet werden deswegen wurden jetzt schon das dritte Mal die analog Anschlüsse einfach abgemeldet ohne dass überhaupt @hes@ Bescheid gegeben wurde jetzt hab' ich mich halt morgen beschwert @hes@ bis jetzt ist immer noch nichts passiert ein Anschluss kann wohl morgen freigeschaltet werden der andere übermorgen ich versteh's nicht also der Service von der Telekom ist [fragment] so was von unter aller Kanone also irgendwann einmal bin ich jetzt soweit dass ich die Anschlüsse jetzt @hes@ bei *mein* andere *Telekommunikationsunternehmen* @hes@ anmelde weil das ist wirklich *eine* Frechheit *eine* ober Frechheit und überall wo ich anrufe krieg' ich immer *eine* andere Antwort also irgendwann platzt mir jetzt echt der Kragen
";1;;;;;;;
"1256578432697.txt";"TRANSCRIPTION: die Kundenberaterin konnte mir weder Auskünfte über die normalen Tarife  geben noch konnte sie mir verbindliche Auskünfte zu Kündigungsfragen zu geben es war alles Wischiwaschi und überhaupt gar nicht professionell deswegen bin ich sehr sehr unzufrieden
";1;;;;;;;
"1256578432981.txt";"TRANSCRIPTION: es gab gar keine Beratung ich kam direkt zu dieser Befragung aber eine Beantwortung meiner Frage konnte nicht ausgeführt werden der Kundendienst Mitarbeiter hat mich auf Warteschleife gestellt und dann kam schon diese Befragung
";"a";;;;;;;
"1256578793059.txt";"TRANSCRIPTION: ich versuche seit einer Woche mein Handy zu tauschen habe dafür fünf Anläufe gemacht und mir ungefähr hundertmal Ihre endloslangen Ansagen angehört ich find' das unakzeptabel dass man bei T-Mobile einen Tag lang oder *eine* ganz Woche lang irgendwo sein muss um das Handy tauschen zu können abgesehen von mindestens anderthalb Stunden die ich jetzt mit Ihnen telefoniert hab' innerhalb von einer Woche um das auf den Weg zu bringen
";1;;;;;;;
"1256579273396.txt";"TRANSCRIPTION: guten Tag ich bin mit dem @hes@ eben geführten Gespräch sehr unzufrieden @hes@ ich musste mich für eine einfache Tarifberatung hätt' ich mich legitimieren müssen ich sitze im Auto und telefoniere mit meiner Freisprecheinrichtung ich hab' weder meine Kunden Kontonummer noch meine Karte Nummer zur Hand um mich beim Berater zu legitimieren Sicherheit ist ganz schön aber der Prozess an sich ist vollkommen @hes@ wenig oder gar nicht kundenorientiert dass man an dieser Stelle nicht weiterkommt das liegt kein Verschulden am Berater er konnt' an seinem Bildschirm nichts ohne diese Angaben weiter insofern @hes@ ja ist einfach wenig kundenorientiert gemacht der Prozess das möcht' ich Ihnen hiermit zur Kenntnis geben aber ich wünsch' allen trotzdem die das hören ein schönen Abend noch auf Wiederhören
";1;;;;;;;
"1256579393694.txt";"TRANSCRIPTION: @hes@ ich versuche seit einem halbe Jahr *den* Anschluss zu kriegen und zwar von analog auf ein ISDN und jedes Mal [fragment] wird da irgendwas erzählt es kommt immer (()) Hörer und so weiter kommen tut keiner und ich hab' jetzt seit Donnerstag kein Telefon mehr und @hes@ @hes@ wenn das jetzt so weitergeht geht das an die Bildzeitung
";1;;;;;;;
"1256579874024.txt";"TRANSCRIPTION: mir ist nicht so geholfen worden dass mein Problem gelöst werden konnte ich [fragment] Emails von einem ((Abbuse)) Team was ich nicht erreichen kann und die Servicemitarbeiterin kannte mir auch nicht weiterhelfen somit häng' ich in der Luft
";1;;;;;;;
"1256580234399.txt";"TRANSCRIPTION: der ganze [fragment] Service ist nicht ich möchte einfach bitte mein Ansprechpartner sprechen [garbage]
";0;;;;;;;
"1256580235461.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256580355504.txt";"TRANSCRIPTION: der Mitarbeiter ist vollkommen unkompetent und konnte mir überhaupt nicht weiterhelfen
";"d";;;;;;;
"1256581315768.txt";"TRANSCRIPTION: der [fragment] ups der Mitarbeiter war nicht kundenorientiert und er hat mir nicht die Information gegeben die ich gewünscht habe
";0;;;;;;;
"1256581316046.txt";"TRANSCRIPTION: der Mitarbeiter wusste mir nicht *ein* Auskünfte zu erteilen und war @hes@ völlig [fragment] inkompetent @hes@ es gibt Servicenummern mit denen man selber [fragment] Einruf Weiterleitungen einrichten kann diese Nummer wollt' ich von ihm haben und sie waren ihm nicht bekannt auf Nachfrage wie er denn heißt hat er mich @hes@ @hes@ ins Menü weggedrückt
";1;"d";"b";;;;;
"1256581916105.txt";"TRANSCRIPTION: das Problem kann erst in eine Woche ungefähr gelöst werden das ist unglaublich schlecht
";0;;;;;;;
"1256582636362.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256582636621.txt";"TRANSCRIPTION: obwohl ich einen Service gebucht habe für innerhalb acht *Stunden* *meinen* @hes@ DSL Anschluss wieder instand setzen sollte es ((verging)) ((bis)) die Fehler behob ist vier und zwanzig Stunden vergangen und der Fehler ist immer noch nicht behoben da bin ich natürlich unzufrieden
";3;;;;;;;
"1256582996692.txt";"TRANSCRIPTION: das ganz Handling mit dem Freischalten von dem Handy von T-Mobile ist *eine* Katastrophe mit dem [fragment] [fragment] Entsperr Code die [fragment] die Internetseite stimmt aktuell nicht der arme Berater kann einem nicht weiterhelfen verweist einen auf den nächsten Tag
";1;;;;;;;
"1256583116930.txt";"TRANSCRIPTION: sporadisches Problem bei der Telefonleitung und das Problem konnte nicht behoben werden
";3;;;;;;;
"1256583237988.txt";"TRANSCRIPTION: der *Berater* war der Berater war sehr kurz angebunden auch [fragment] nochmaligen Nachfragen @hes@ hat er immer nur kurze Antworten parat gehabt @hes@ ich hatte das Handy seit einer Woche das iPhone und kenn mich nun absolut wirklich nicht aus das ging einfach nur um ein paar Eingaben und @hes@ leider ist *es* @hes@ auch nicht dazu gekommen dass man auch hier bei den Internetzugang richtig konfiguriert hat war alles offensichtlich doch sehr einfach geht aber ich vielleicht da nicht durchsteige [fragment] @hes@ deswegen werd' ich wahrscheinlich jetzt gleich *einen* anderen Berater anrufen ich bedanke mich dann noch mal
";1;"d";;;;;;
"1256583598263.txt";"TRANSCRIPTION: das Gespräch wurde einfach unterbrochen durch Ihre Nachfrage
";"b";;;;;;;
"1256583598521.txt";"TRANSCRIPTION: guten Tag ein technisches Problem wurde nicht gelöst und ich wurde @hes@ entweder absichtlich unabsichtlich aus der Leitung entfernt und @hes@ mein paar Probleme liegen woanders und mir ist nicht geholfen und ich hab' hier *einen* Vertrag und zahl' da *einen* Haufen Geld und weiß nicht was machen aber ich probier's noch mal bei Ihnen auf der Hotline
";"b";;;;;;;
"1256583718584.txt";"TRANSCRIPTION: ich hatte Probleme mit der Bank Software hab' eine Frage dazu bin weitergereicht worden und natürlich wie immer oder wie sehr oft hat sich damit das Gespräch erledigt ich bin sehr unzufrieden
";1;;;;;;;
"1256584198879.txt";"TRANSCRIPTION: er hat einfach aufgelegt
";"b";;;;;;;
"1256584439129.txt";"TRANSCRIPTION: ich hatte nicht die Aufmerksamkeit meines Beraters der entweder nicht geantwortet hat oder sich lieber mit Kollegen unterhalten hat weiter
";"a";;;;;;;
"1256585279420.txt";"TRANSCRIPTION: [fragment] Auftrag ging nicht durch Gespräch war einfach beendet
";"a";;;;;;;
"1256585639715.txt";"TRANSCRIPTION: schlechte mangelnde Beratung
";"d";;;;;;;
"1256586000809.txt";"TRANSCRIPTION: Ihr Kundenberater hat aufgelegt
";"b";;;;;;;
"1256586121071.txt";"TRANSCRIPTION: ich hab' *eine* Frage zu meiner Auftragsbestätigung gestellt und zwar wann mein Widerrufsrecht die Frist für mein Widerrufsrecht ausläuft und das wurde mir nicht beantwortet plötzlich war der Anruf weg
";1;"a";;;;;;
"1256586361322.txt";"TRANSCRIPTION: aufgrund der langen Geduld die ich dieses Problem bereits aufgebracht hab' sprich seit über einer Woche kein ISDN Anschluss hätt' ich ein bisschen mehr Entgegenkommen bei einer Terminvereinbarung im *Servicecenter* nun @hes@ denn nach einer Wochen endlich mal zustande gekommen ist erwartet
";3;1;;;;;;
"1256586481610.txt";"TRANSCRIPTION: das [fragment] das Servicegespräch ist zwar freundlich gewesen trotzdem [fragment] sind die versprochenen Leistungen zunächst nicht erbracht worden bisher mir ist ein Anschluss @hes@ zugesagt worden der zunächst freigeschaltet werden sollte und es hat sich herausgestellt dass der Mitarbeiter der das damals aufgenommen hat dies nicht ordnungsgemäß gemacht hat und jetzt bin ich nur am Telefonieren mit der Telekom und kann bisher leider nicht erreichen dass das ordnungsgemäß freigeschaltet wird Dankeschön
";1;"d";;;;;;
"1256586721830.txt";"TRANSCRIPTION: Komfortdienste wurden nicht richtig gelöscht irgendwie hat die Spracherkennung nicht richtig funktioniert das *ist* es
";1;;;;;;;
"1256587802061.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256590562375.txt";"TRANSCRIPTION: ja *eine* verständliche Information über das Ganze wir ((drehen)) uns also im Kreis wir haben jetzt schon mit fünf oder sechs verschiedenen Personen telefoniert und wurden durchgemessen aber wir kommen zu keinem Ergebnis wo es denn nur dran liegt
";3;;;;;;;
"1256591043461.txt";"TRANSCRIPTION: ja hallo liebes Team also ich hatte zwei Versuche gestellt und jedes Mal wollt Ihr Kollegen mich weiterleiten dann kam eine Bandansage von acht bis zwei und zwanzig Uhr jetzt werden Sie getrennt etwa man sagt mir [fragment] geht der Service geht nicht mehr oder man leitet mich weiter was soll das ich weiß es nicht können Sie da [fragment] mal bitte mal Rückschluss dazu was fragen mich oder eben oder Ihre Kollegen ich würde mich freuen wenn Sie dementsprechend darauf mal antworten würden @hes@ etwas sie können mich weiterleiten oder man muss sagen jetzt arbeiten wir heute nicht mehr das wäre *eine* klare Aussage weiter
";"c";;;;;;;
"1256591283791.txt";"TRANSCRIPTION: zunächst einmal bin ich seit sehr langer Zeit Kunde bei der Telekom sowohl T-Mobile als auch mit meinem Telefon also bei der T-Com oder T-Home jetzt ich hab' ein Entertain Anschluss @hes@ hab' alles mögliche immer von der Telekom gehabt aus Gründen weil der Service mich immer sehr überzeugt hat wenn man angerufen hat da wurde man korrekt beraten und alles war einwandfrei doch sowohl bei T-Home als auch jetzt bei T-Mobile bin ich mit dem Service ganz und gar nicht mehr zufrieden @hes@ leider würde es die Zeit von sechzig Sekunden komplett sprengen um diese Unzufriedenheit auszudrücken doch das Entgegenkommen des Beraters mit dem ich grad vorhin gesprochen hab' hat nicht dem entsprochen @hes@ das meiner Vorstellung entspricht
";0;;;;;;;
"1256594164190.txt";"TRANSCRIPTION: ich versuche jetzt seit vierzehn Tagen ein Telefon zu kriegen und von meiner *alten* Adresse nach meiner neuen Adresse hin und ich hab' schon seit einer Woche kein Telefon mehr ich habe schon siebenmal angerufen bei Euch und da tut sich nichts ich werd' in die Warteschleife gesetzt aber vielleicht dass ich nach *einem* andern Anbieter gucke und *dass* es mir dann doch besser gefällt
";2;"a";;;;;;
"1256595724511.txt";"TRANSCRIPTION: ich bin nicht zufrieden weil ich zehn Minuten in der Warteschleife hing und dann jetzt einfach nur diese Zufriedenheits *Abfrage* bekomme ich konnte mein Problem nicht loswerden
";"e";"a";;;;;;
"1256596084770.txt";"TRANSCRIPTION: unqualifizierte und unverschämte Äußerungen aus *dem* ((Back)) Office
";"d";;;;;;;
"1256598845077.txt";"TRANSCRIPTION: mein Problem mein Problem wurde nicht behoben
";0;;;;;;;
"1256604606209.txt";"TRANSCRIPTION: [garbage] hallo (()) [garbage]
";0;;;;;;;
"1256614327455.txt";"TRANSCRIPTION: *ich* kann mit mein Handy kein SMS schicken es geht nicht dann heißt es laufend dass ich Sie anrufen soll dann hab' ich jemand dran und der sagt dann Handy ausschalten wieder da hab' ich @hes@ mein @hes@ @hes@ Kunden Kontonummer genannt [kundennr] mein Kartennummer kann ich ja nicht sagen weil die hab' ich ja in mein Handy
";1;;;;;;;
"1256623207904.txt";"TRANSCRIPTION: ich hab' die Dame mit der ich gesprochen hab' *um* Ihren Namen gebeten und sie hat dann einfach aufgelegt das find' ich einfach *eine* Zumutung dafür dass ich im Schnitt im Monat rund zwo hundert fünfzig Euro an Sie zahle ist es einfach unterirdisch und da werd' ich jetzt den Anbieter wechseln
";"b";;;;;;;
"1256624168189.txt";"TRANSCRIPTION: die (()) dauert einfach zu lange
";"e";;;;;;;
"1256624288481.txt";"TRANSCRIPTION: Ihre Mitarbeiter in im Callcenter Frau [nachn] legt einfach auf
";"b";;;;;;;
"1256624768729.txt";"TRANSCRIPTION: nach *dem* fünften Anruf immer noch nicht weitergekommen
";0;;;;;;;
"1256626090032.txt";"TRANSCRIPTION: das Gespräch mit dem Kundenberater hat gar nicht stattgefunden ich warte jetzt die ganze Zeit schon und hör' nur Gemurmel im Hintergrund aber verbunden worden bin ich nicht
";"a";;;;;;;
"1256626210319.txt";"TRANSCRIPTION: [fragment] sollte [fragment] ich sollte durchgestellt werden mit einem Service Arbeiter aber da kam jemand und nach zwanzig Minuten bekomm' ich diese Service um mal zu sagen ob ich [fragment] zufrieden bin oder nicht aber ja na ist also das @hes@ richtig falsch gegangen
";"a";"e";;;;;;
"1256626450585.txt";"TRANSCRIPTION: erstens erstens dass ich dreißig Minuten warten muss bis ich endlich *einen* Mitarbeiter habe zweitens Eure Mitarbeiter sind unfreundlich drittens Eure Mitarbeiter sind nicht zielorientiert und [fragment] sie müssen immer irgendwelche tausend Nachfragen stellen die völlig unqualifiziert sind
";"e";"d";;;;;;
"1256626811596.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256627291895.txt";"TRANSCRIPTION: dann war ich @hes@ hat achtzehn Minuten in der Warteschleife und werde von *einem* Operator direkt auf diese Ansage verbunden hat ist *eine* ziemliche Unverschämtheit
";"e";"a";;;;;;
"1256627292998.txt";"TRANSCRIPTION: ja ich hab' hier jetzt mit sechs Mitarbeitern sprechen dürfen und bin schon wieder aus der Leitung geflogen ich find' das unmöglich und gar nicht zufriedenstellend
";"b";;;;;;;
"1256627293145.txt";"TRANSCRIPTION: es ist unmöglich ich habe hier zwanzig Minuten gewartet gar kein Gespräch bekommen und jetzt soll ich es bewerten was soll ich da sagen es ist Quatsch entweder es geht jetzt jemand ran @hes@ ja oder bin hier hilflos oder was Kunde auf Abruf @hes@ Rechnungen einfach schreiben abbuchen fertig das kann nicht sein also ich bin einfach nur verärgert vielleicht hab' ich die Möglichkeit im Laufe des Tages wenn ich sehr viel Zeit habe irgendwann jemand ans Telefon zu kriegen anstatt hier nur Musik zu hören frage ich mich was das hier soll vielleicht geht's langsam mal hier weiter die Leute haben anschließend noch was anderes zu tun als hier nur am Telefon zu sitzen ist das hier Strategie Psychologie oder weiß ich nicht was ist ja unmöglich ich hab' *eine* Frage zur Rechnung weiter gar nichts und und muss hier *hängen* im Telefon bis ich hier schwarz werde vielleicht geht's hier irgendwann mal weiter hallo
";"e";"a";4;;;;;
